Company,Level Audition,Name,Re-Evaluation,ep2,ep4,ep6,note
Yuehua Entertainment,C,Ree Ai Yiyi,,35,59,60,
Huace Pictures,D,Esther Yu Shuxin,,1,1,1,
Shanghai Star48 Culture Media Group SNH48_7SENSES,A,Kiki Xu Jiaqi,B,2,2,2,
Shanghai Star48 Culture Media Group SNH48_7SENSES,B,Diamond Dai Meng,,9,11,18,
Shanghai Star48 Culture Media Group SNH48_7SENSES,C,Tako Zhang Yuge,,17,19,25,
Shanghai Star48 Culture Media Group SNH48_7SENSES,C,Eliwa Xuyang Yuzhuo,,20,17,26,
Show City Times,C,Han Dong,,56,62,64,
Show City Times,D,BeeBee Huang Xiaoyun,,48,72,83,
Show City Times,D,Wei Shuyu,,89,108,75,
Show City Times,B,Xu Xinwen,,79,95,84,
Happy Jump Culture,F,Bobo Li Xining,,-,-,-,
